Reference Code,Title (Eng),Title (TC),Business Needs / Challenges (Eng),Business Needs / Challenges (TC),Expected Outcomes (Eng),Expected Outcomes (TC),Application Areas,Technologies to be Used,Model Input
N-0063,Real-time incident detection system on shared-use pavement for pedestrians and cyclists,行人及單車共融通道實時事故偵測系統 ,"We are exploring the adoption of a real-time incident detection system with application of artificial intelligence technology on shared-use pavement for pedestrians and cyclists.  The system should be capable of spotting automatically and instantly incidents such as collision between pedestrian and cyclist, and immediately informing the on-site staff for attending to the incidents.  The system should also be capable of conducting real-time pedestrian and cycle flow counts on the shared-pavement to facilitate safety and crowd management.  The possible adoption of alternative technology in lieu of video analytic, such as LIDAR and thermal detection, should be explored to address potential concern on privacy issue. ",我們正研究在行人及單車共融通道上以人工智能技術設置一個實時事故偵測系統。該系統需要自動及實時偵測在共融通道上發生的事故，例如行人及單車發生碰撞，並即時發出警報提醒在場工作人員處理有關事故。該系統還需要收集行人及單車流量的實時數據，以方便安全和人群管理。此外，有關方案應探討採用其他技術，例如光學雷達和熱能探測，以取代使用影像攝錄的可行性，從而處理可能對私隱問題的關注。,"The system should be capable of enhancing the safety and crowd management of the shared-pavement, and minimising the manpower resources required.",該系統須優化共融通道的安全和人群管理，以及減少有關的人手。,"City Management
Transport
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Video Analytics
","Real-time incident detection system on shared-use pavement for pedestrians and cyclists. We are exploring the adoption of a real-time incident detection system with application of artificial intelligence technology on shared-use pavement for pedestrians and cyclists.  The system should be capable of spotting automatically and instantly incidents such as collision between pedestrian and cyclist, and immediately informing the on-site staff for attending to the incidents.  The system should also be capable of conducting real-time pedestrian and cycle flow counts on the shared-pavement to facilitate safety and crowd management.  The possible adoption of alternative technology in lieu of video analytic, such as LIDAR and thermal detection, should be explored to address potential concern on privacy issue. . The system should be capable of enhancing the safety and crowd management of the shared-pavement, and minimising the manpower resources required."
N-0064,Mobile Phone Applications on Way Finding Services with Augmented Reality ,利用手機應用程式提供擴增實境引路服務,"We are exploring the provision of a way finding services in new development area (NDA) through mobile phone application with augmented reality technology.  The mobile phone application aims at providing convenience to the public for locating the major scenic spots, leisure and other facilities as well as at the same time disseminating the relevant information, thereby enhancing their experience in visiting the NDA.",我們正研究利用手機應用程式在新發展區提供擴增實境引路服務。該手機應用程式希望能夠方便市民尋找區內的主要景點、康樂及其他設施和於同一時間發佈相關的資訊，從而給他們一個更好的遊覽體驗。,The way finding services help the public to find the different destinations within the NDA and obtain the relevant information.,引路服務須方便市民尋找區內不同的目的地及獲取相關資訊。,"Broadcasting
City Management
Recreation and Culture
","Augmented Reality
Mobile Technologies
","Mobile Phone Applications on Way Finding Services with Augmented Reality . We are exploring the provision of a way finding services in new development area (NDA) through mobile phone application with augmented reality technology.  The mobile phone application aims at providing convenience to the public for locating the major scenic spots, leisure and other facilities as well as at the same time disseminating the relevant information, thereby enhancing their experience in visiting the NDA.. The way finding services help the public to find the different destinations within the NDA and obtain the relevant information."
N-0065,Automatic Bicycle Rental System (including Booking and Payment System) ,自動租借單車系統(包括預訂及付款系統) ,"We are exploring the adoption of an automatic bicycle rental system in new development area (NDA) for leisure and recreation use by the public.  Such system should, without extensive manpower resources input for the operation, allow the public to rent and return bicycles at different locations inside the NDA conveniently for visiting the scenic spots and open spaces therein.  The system should be accompanied with bicycle booking and payment function, providing users with one-stop services via mobile phone and / or internet.  Besides, the possible use of geo-fencing technology should be explored for regulating bicycle parking to prevent parking problem.  Such technology should be capable of regulating bicycle parking and monitoring cyclists entering or exiting a geo-fence, facilitating bicycle management more effectively.",我們正研究在新發展區設置一套自動單車租賃系統給市民作休閒娛樂之用。該系統應在不需要大量人手操作的情況下讓市民能夠方便地於新發展區內不同的地方租借或歸還單車，以便遊覽區內的景點和休憩用地。該系統應透過手機應用程式和 / 或互聯網以一站式服務提供單車預訂及付款功能給用家。此外，有關方案應探討採用電子圍欄技術(geo-fencing)管理單車泊位以防止單車胡亂停泊的問題。該系統需要監控單車泊位及監測騎單車人士出入電子圍欄，從而更有效地管理單車。,The system should provide convenience to the public for using bicycle rental facilities at different locations inside the NDA for leisure and recreation use.,該系統須讓市民能夠方便地於新發展區內不同的地方租借到單車作休閒娛樂之用。,"City Management
Recreation and Culture
Transport
","Artificial Intelligence (AI)
Data Analytics
Mobile Technologies
","Automatic Bicycle Rental System (including Booking and Payment System) . We are exploring the adoption of an automatic bicycle rental system in new development area (NDA) for leisure and recreation use by the public.  Such system should, without extensive manpower resources input for the operation, allow the public to rent and return bicycles at different locations inside the NDA conveniently for visiting the scenic spots and open spaces therein.  The system should be accompanied with bicycle booking and payment function, providing users with one-stop services via mobile phone and / or internet.  Besides, the possible use of geo-fencing technology should be explored for regulating bicycle parking to prevent parking problem.  Such technology should be capable of regulating bicycle parking and monitoring cyclists entering or exiting a geo-fence, facilitating bicycle management more effectively.. The system should provide convenience to the public for using bicycle rental facilities at different locations inside the NDA for leisure and recreation use."
N-0066,Monitoring of Illegal Dumping on Smart Lampposts,智慧燈柱上監察非法棄置廢物活動,There are public concerns on using cameras as it may touch on personal privacy.  Therefore technologies alternative to cameras will be explored which are privacy-friendly to monitoring illegal dumping activities.,公眾關注使用攝影機有可能引起個人私隱問題。因此，需要探索其他可替代攝影機而保障私隱的技術，以提供“監察非法棄置廢物活動”的功能。,"Illegal Dumping Monitoring
-	Collect information for planning and operation against illegal dumping activities
-	Record and identify illegal waste dumping activities in the street and track street obstructions such as recyclers shops and waste collection vehicles obstacles in selected area of interest
-	Identify dumping type (e.g. by hand, with vehicle, with trolley)
-	Automatically measure the volume and type of waste captured if illegal waste dumping is suspected
-	Recognise the vehicle licence plate number
-	Automatically track and analyse vehicles and the corresponding vehicle type:
> Motor Cycle
> Private Car
> Taxi
> Private Light Bus
> Public Light Bus
> Light Goods Vehicle
> Medium / Heavy Goods Vehicle
> Non-franchised Bus
> Franchised Bus (single decker)
> Franchised Bus (double decker)
-	Types of Trash (for reference):
> Earth Filling, building debris (packed and not packed in bags)
> Household waste
> Waste Tyre
> Air conditioner
> Refrigerator
> Washing machine
> Television
> Computer
> Printer
> Scanner
> Monitor
> Bamboo
> Cardboard, carton box
> Gas Cylinder (Fire Extinguishers, Air conditioner compressor, refrigerants)
> Wardrobes, drawers
> Bed, mattress, cabinets
> Basin, toilet bowl
> Wooden frame
> Big Trash Bag
-	Alert and Reporting
> Trigger an email alert on the event time and venue in Backend instantly if illegal waste dumping is suspected
> Trigger alert should have information for user preview and verify the suspected activities
> Log the illegal dumping event in the backend system and provide both web and mobile client to access report system
-	Provide a live view at the scene
-	Alternative technologies other than cameras which are privacy-friendly (i.e. no excessive data collection principle under the Personal Data (Privacy) Ordinance and the practice of collecting minimum information for the purpose of data collection) should be considered only.
","監察非法棄置廢物活動
-	收集非法棄置廢物活動資訊以作跟進
-	記錄非法棄置廢物活動，並追蹤選定目標區域中的街道障礙物，例如廢物回收商和垃圾收集車障礙物
-	識別非法棄置廢物類別（例如徒手，以車輛，或以手推車）
-	當有懷疑非法棄置廢物活動，自動量度廢物的體積和類別
-	識別車牌號碼
-	自動追踪和分析車輛及相應的車輛類型：
	電單⾞
	私家⾞
	的⼠
	私家⼩型巴⼠
	公共⼩型巴⼠
	輕型貨⾞(非客貨⾞類)
	中型 / 重型貨⾞
	非專營巴⼠
	單層專營巴⼠
	雙層專營巴⼠
-	垃圾類型（僅供參考）：
	泥頭，建築廢料（包裝好及未包裝好）
	家居垃圾
	廢車胎
	冷氣機
	雪櫃
	洗衣機
	電視機
	電腦
	打印機
	掃描器
	電腦顯示屏
	竹枝
	紙板，紙箱
	氣樽（滅火筒，空調壓縮機，雪種）
	衣櫃，抽屜
	床，床褥，櫃
	面盆，馬桶
	木架
	大型垃圾袋
-	警示和報告
	當有懷疑非法棄置廢物活動，後台系統應立即發出警示電子郵件說明事件的發生時間和地點
	提供觸發警示可疑活動的信息給用戶預覽和驗證
	在後台系統記錄非法棄置廢物活動及提供網頁和流動客戶界面讀取報告
-	提供現場即時影像
-	只考慮（非攝影機）保障私隱的替代技術（即根據《個人資料（私隱）條例》中不應過度收集數據的原則，以及因應收集數據的目的，應該考慮收集最少資料的做法）
","City Management
Environment
","Artificial Intelligence (AI)
Cloud Computing
Internet of Things (IoT)
Machine Learning
","Monitoring of Illegal Dumping on Smart Lampposts. There are public concerns on using cameras as it may touch on personal privacy.  Therefore technologies alternative to cameras will be explored which are privacy-friendly to monitoring illegal dumping activities.. Illegal Dumping Monitoring
-	Collect information for planning and operation against illegal dumping activities
-	Record and identify illegal waste dumping activities in the street and track street obstructions such as recyclers shops and waste collection vehicles obstacles in selected area of interest
-	Identify dumping type (e.g. by hand, with vehicle, with trolley)
-	Automatically measure the volume and type of waste captured if illegal waste dumping is suspected
-	Recognise the vehicle licence plate number
-	Automatically track and analyse vehicles and the corresponding vehicle type:
> Motor Cycle
> Private Car
> Taxi
> Private Light Bus
> Public Light Bus
> Light Goods Vehicle
> Medium / Heavy Goods Vehicle
> Non-franchised Bus
> Franchised Bus (single decker)
> Franchised Bus (double decker)
-	Types of Trash (for reference):
> Earth Filling, building debris (packed and not packed in bags)
> Household waste
> Waste Tyre
> Air conditioner
> Refrigerator
> Washing machine
> Television
> Computer
> Printer
> Scanner
> Monitor
> Bamboo
> Cardboard, carton box
> Gas Cylinder (Fire Extinguishers, Air conditioner compressor, refrigerants)
> Wardrobes, drawers
> Bed, mattress, cabinets
> Basin, toilet bowl
> Wooden frame
> Big Trash Bag
-	Alert and Reporting
> Trigger an email alert on the event time and venue in Backend instantly if illegal waste dumping is suspected
> Trigger alert should have information for user preview and verify the suspected activities
> Log the illegal dumping event in the backend system and provide both web and mobile client to access report system
-	Provide a live view at the scene
-	Alternative technologies other than cameras which are privacy-friendly (i.e. no excessive data collection principle under the Personal Data (Privacy) Ordinance and the practice of collecting minimum information for the purpose of data collection) should be considered only.
"
N-0067,Multipurpose System for Case Management ,多功能個案管理系統,"In managing our cases, there are different areas of work.  The major areas include funding application processing, and the follow-up work arising from approval of applications (such as monitoring of resources allocation and use, as well as provision of administrative support). The whole management is a matter of years, involving strenuous procedures and document processing.  At present, we are relying on an enormous amount of human resources to ensure all cases are being managed in a prudent manner. ",我們的個案管理工作涵蓋不同範疇，主要包括處理資助申請及申請獲批後的跟進工作(例如監察資源分配和運用以及提供行政支援)。整個管理工作需時以年計算，當中涉及繁複的程序和文件處理。目前，我們需要依賴大量的人力資源配合才可確保所有個案可妥善處理。,"In order to save manual efforts, we expect that the system will help to streamline the application and follow-up procedures, and to execute document processing.  We also expect that the system will allow room and flexibility to develop further functions in the future to support, for example, other ancillary procedures and data analytics.",為了減省手動工序，我們期望該系統可有助優化申請和跟進工作的程序以及執行文件處理。該系統亦需預留空間和靈活性，以便將來開發更多功能，例如支援其他輔助程序和數據分析。,"Development
","Artificial Intelligence (AI)
Data Analytics
Robotic Process Automation
","Multipurpose System for Case Management . In managing our cases, there are different areas of work.  The major areas include funding application processing, and the follow-up work arising from approval of applications (such as monitoring of resources allocation and use, as well as provision of administrative support). The whole management is a matter of years, involving strenuous procedures and document processing.  At present, we are relying on an enormous amount of human resources to ensure all cases are being managed in a prudent manner. . In order to save manual efforts, we expect that the system will help to streamline the application and follow-up procedures, and to execute document processing.  We also expect that the system will allow room and flexibility to develop further functions in the future to support, for example, other ancillary procedures and data analytics."
N-0068,Intelligent Searching Tools,智能搜索工具,"We have generated many information in both hard copy and electronic copy in our daily operation. For easy storage, hard copy information is transformed into electronic copy and stored in different systems in the department's intranet. Those information may be structured or non-structured information storing in different file formats (jpg, doc, xls, ppt, dwg, pdf {with or without OCR}, etc.). In this connection, it is very difficult to search a document from the huge number of documents in the intranet. ",在日常營運中，我們產生了許多印刷版和電子版的文件。為了便於存儲，文件的印本會轉換為電子副本，並存儲在部門內部網絡的不同系統中。而文件亦有不同的格式如:（jpg，doc，xls，ppt，dwg，pdf（帶有或不帶有OCR）等）。因此，從內聯網中搜索文件非常困難。,"An intelligence searching tool, better incorporated with Chatbot & Artificial Intelligence (A.I.), to facilitate our searching of information in our intranet for work effectiveness and efficiency.",運用一種智能搜索工具，可以與Chatbot和A.I.結合使用，方便我們在內聯網中搜索文件以提高工作效能和效率。,"Development
","Artificial Intelligence (AI)
Chatbot 聊天機械人
","Intelligent Searching Tools. We have generated many information in both hard copy and electronic copy in our daily operation. For easy storage, hard copy information is transformed into electronic copy and stored in different systems in the department's intranet. Those information may be structured or non-structured information storing in different file formats (jpg, doc, xls, ppt, dwg, pdf {with or without OCR}, etc.). In this connection, it is very difficult to search a document from the huge number of documents in the intranet. . An intelligence searching tool, better incorporated with Chatbot & Artificial Intelligence (A.I.), to facilitate our searching of information in our intranet for work effectiveness and efficiency."
N-0070,Automation of data verification,資料核對自動化,"The existing workflow of handling applications of a public service involves a number of manual processes, such as verifying the information stated in application forms against those contained in supporting documents, which include English, Traditional Chinese and Simplified Chinese handwritten documents, through visual inspection.  The process is time-consuming and prone to error.  The department intends to make use of technologies to automate the verification processes for improvement of process accuracy and operational efficiency.",現有的公共服務申請工作流程涉及許多人手工序，例如，通過目視將申請表中的資料與證明文件（包括英文，繁體中文和簡體中文手寫文件）中的資料進行核對。該過程耗時並且容易出錯。 部門打算利用技術來使核對過程自動化，以提高過程準確性和運營效率。,"With the application of artificial intelligence, machine learning, robotic process automation and other technologies, the technology solutions should be able to automate the processes of verifying the data contained in the applications accurately and efficiently and minimise the human effort required.",隨著應用人工智能，機器學習，機器人過程自動化和其他技術，有關的技術解決方案應該能夠把核對申請表格內的資料過程自動化，並且準確而有高效率，以及可以最大程度地減少所需的人力資源。,"Education
","Artificial Intelligence (AI)
Machine Learning
Natural Language Processing
Robotic Process Automation
","Automation of data verification. The existing workflow of handling applications of a public service involves a number of manual processes, such as verifying the information stated in application forms against those contained in supporting documents, which include English, Traditional Chinese and Simplified Chinese handwritten documents, through visual inspection.  The process is time-consuming and prone to error.  The department intends to make use of technologies to automate the verification processes for improvement of process accuracy and operational efficiency.. With the application of artificial intelligence, machine learning, robotic process automation and other technologies, the technology solutions should be able to automate the processes of verifying the data contained in the applications accurately and efficiently and minimise the human effort required."
N-0071,"Automatic identification, notification and processing of missing documents",自動識別，通知和處理補交的文件,"The existing workflow of handling electronic applications of a public service involves a number of manual processes, such as bringing up outstanding cases, checking missing supporting documents, issuing letters to remind applicants to submit documents, and distributing submitted documents to case officers for processing.  The department intends to make use of technologies to automate the processing of applications, including identifying the missing documents, notifying applicants and processing submitted documents.",現時處理公共服務電子申請的工作流程涉及許多人手流程，例如提醒工作人員未完成的個案件，檢查缺少的證明文件，發出信件提醒申請人補交證明文件以及將補交的文件分發給個案工作人員進行處理。部門打算利用技術來自動處理申請，包括識別缺少的文件，通知申請人和處理已提交的文件。,"With the application of robotic process automation and other technologies, the technology solutions should be able to automate the processes of identifying the type of missing documents, notifying the applicants, and updating the record after receiving the document from the applicant and alerting case officers to process the submitted documents to minimise the human effort required.",因應使用機器人流程自動化和其他技術，技術解決方案應該能夠把以下過工作流程自動化：識別申請人未提交的文件種類、通知申請人，以及當收到申請人提交文件時更新記錄和提醒個案的工作人員，從而以最大程度地減少所需的人力資源。,"Education
","Robotic Process Automation
","Automatic identification, notification and processing of missing documents. The existing workflow of handling electronic applications of a public service involves a number of manual processes, such as bringing up outstanding cases, checking missing supporting documents, issuing letters to remind applicants to submit documents, and distributing submitted documents to case officers for processing.  The department intends to make use of technologies to automate the processing of applications, including identifying the missing documents, notifying applicants and processing submitted documents.. With the application of robotic process automation and other technologies, the technology solutions should be able to automate the processes of identifying the type of missing documents, notifying the applicants, and updating the record after receiving the document from the applicant and alerting case officers to process the submitted documents to minimise the human effort required."
N-0072,"Mobile platform with handheld devices for on-site inspection, home visits and interviews",手提式的設備可用於現場視察，家庭訪問和面談,"The existing workflow of handling applications of a public service involves monitoring and authentication processes and staff are required to conduct inspection, home visits and interviews frequently.  At present, the information / copies of the documents collected / photos taken during the process are brought back to office, and images are uploaded to the systems manually by staff for processing and record.  The department intends to make use of technologies to digitalise the processing of records for inspection / home visits / interviews and to facilitate case officers’ access to the systems using handheld devices in a secure manner while they are away from office.  Moreover, the use of handheld devices for on-site data screening and transmission will also promote paperless operation and improve work efficiency.",現時處理公共服務申請的工作流程涉及監察和審核過程，部門會要求員工進行現場視察，家庭訪問和與申請人面談。 目前，在此過程中，所收集的資料/文件副本/拍攝的照片會被帶回辦公室，並且由工作人員以手動方式將圖片上傳到系統中進行處理和記錄。部門打算利用技術對現場視察/家庭訪問/面談記錄的處理進行電子化，同時方便個案工作人員不在辦公室時亦可使用手提式的設備以安全的方式登入系統。 此外，使用手提式的設備進行現場數據篩檢和傳輸亦可促進無紙化的操作以及提高工作效率。,"With the development of the mobile platform, staff would be provided with handheld devices to assist in performing inspection, home visits or interviews.",隨著移動平台的開發，員工將會獲提供手提式的設備，以協助進行現場視察，家庭訪問或面談。,"Education
","Mobile Technologies
Robotic Process Automation
","Mobile platform with handheld devices for on-site inspection, home visits and interviews. The existing workflow of handling applications of a public service involves monitoring and authentication processes and staff are required to conduct inspection, home visits and interviews frequently.  At present, the information / copies of the documents collected / photos taken during the process are brought back to office, and images are uploaded to the systems manually by staff for processing and record.  The department intends to make use of technologies to digitalise the processing of records for inspection / home visits / interviews and to facilitate case officers’ access to the systems using handheld devices in a secure manner while they are away from office.  Moreover, the use of handheld devices for on-site data screening and transmission will also promote paperless operation and improve work efficiency.. With the development of the mobile platform, staff would be provided with handheld devices to assist in performing inspection, home visits or interviews."
N-0073,Application data analysis for risk based authentication,應用數據分析於帶有風險評估的審核,"The department is adopting risk-profiling of applications submitted to detect provision of inaccurate information and omission of information.  However, the parameters of the risk factors are mainly determined by human judgment.  The department intends to make use of big data analytics technology to identify the risk factors and evaluate their effectiveness so as to strengthen the monitoring and authentication mechanism.  ",部門會為提交的申請進行風險分析，以識別出提供失實資料或漏報資料的情況。 但是，現時的風險因素的參數主要由人為判斷決定。 部門打算利用大數據分析技術來識別風險因素的參數並評估其有效性，以加強監控和審核的機制。,"With the adoption of the big data analytics technology, the department could be able to evaluate the effectiveness of the existing risk factors and to identify new risk factors which should be included into the risk-profiling. ",通過採用大數據分析技術，部門可以評估現有風險因素的參數的有效性，並識別新的風險因素的參數，以納入風險評估之內。,"Education
","Artificial Intelligence (AI)
Data Analytics
Predictive Analytics
","Application data analysis for risk based authentication. The department is adopting risk-profiling of applications submitted to detect provision of inaccurate information and omission of information.  However, the parameters of the risk factors are mainly determined by human judgment.  The department intends to make use of big data analytics technology to identify the risk factors and evaluate their effectiveness so as to strengthen the monitoring and authentication mechanism.  . With the adoption of the big data analytics technology, the department could be able to evaluate the effectiveness of the existing risk factors and to identify new risk factors which should be included into the risk-profiling. "
N-0074,Chatbot for enquiry service.,使用「聊天機器人」提供查詢服務。,"The department is engaging 1823 hotline service and Interactive Voice Response System (IVRS) to answer public enquiry.  The department is exploring solutions to integrate chatbot in website, IVRS and/or hotline system to handle enquiries to enhance operational efficiency. ",部門現正透過1823熱線服務和「互動語音系統」來解答市民的查詢。 部門正在探討可行的方案，將「聊天機器人」配合網站，「互動語音系統」和/或熱線系統來以處理查詢，以提高運營效率。,The general enquiries from members of the public could be answered by a text-based chatbot.,部門可透過聊天機器人以文字的方式回覆公眾的查詢。,"Education
","Artificial Intelligence (AI)
Machine Learning
Natural Language Processing
","Chatbot for enquiry service.. The department is engaging 1823 hotline service and Interactive Voice Response System (IVRS) to answer public enquiry.  The department is exploring solutions to integrate chatbot in website, IVRS and/or hotline system to handle enquiries to enhance operational efficiency. . The general enquiries from members of the public could be answered by a text-based chatbot."
N-0075,Form filling guiding robot at service counters,服務櫃檯的指導填表機器人,"Human resources are always needed for providing form-filling advice at service counters.  The department would like to make use of a robot to provide advice on form filling, and answer application-related enquiry with less manpower overheads at service counters.  ",在服務櫃檯提供如何填寫表格的服務需要人力資源。部門希望利用機器人為申請人提供填寫表格的建議，並可以在服務櫃檯內以較少的人力資源回答與申請程序相關的查詢。,"A robot will provide advice on form filling, and answer application-related enquiries.  With the integration of machine learning technology, it will also be able to continuously improve its chatting and responding skills and give more close-fitting replies to visitors’ other enquiries.  ",機器人將提供有關填寫表格的資訊，並回答與申請有關的查詢。結合機器學習的技術，機器人還能夠不斷提升其聊天和回應技巧，對訪問者的其他查詢作出更適切的回覆。,"Education
","Artificial Intelligence (AI)
Machine Learning
Robotic Process Automation
","Form filling guiding robot at service counters. Human resources are always needed for providing form-filling advice at service counters.  The department would like to make use of a robot to provide advice on form filling, and answer application-related enquiry with less manpower overheads at service counters.  . A robot will provide advice on form filling, and answer application-related enquiries.  With the integration of machine learning technology, it will also be able to continuously improve its chatting and responding skills and give more close-fitting replies to visitors’ other enquiries.  "
N-0077,Smart license processing virtual robot,牌照處理虛擬機械人,"The department needs to process over 40 different types (around 11,000 applications annually) of license / permit application. Despite the department is using an e-workflow system to handle the license applications, considerable manual efforts are spending on applications through paper forms. The manual verifications on information completeness and accurateness resulted in prolong processing time. This pilot initiative is aiming to introduce OCR and RPA to minimize the needs of manual intervention throughout the license application handling process.","部門需要每天處理40多種不同類型的牌照的申請（每年需處理約11,000個許可申請）。儘管已經使用電子工作流程系統來處理牌照申請，但仍需要人手來核實及檢查申請表格，確保資料的完整性和準確性，因而延誤處理申請。是次試點計劃旨在引入OCR和RPA以取締處理牌照申請過程中的人手部份。","The department has provided various channels for public to submit their applications e.g. electronic submission through a secured electronic transaction platform, by hand to department's service counter in regional offices or by post. Applicants are required to submit different types of supporting documents (e.g. BRC copy, water bills, technical assessment on the environmental impact, block plan, drawings, etc.) along with the application forms. With the help of OCR and RPA, some pre-screening tasks could be performed to shorten the turnaround time in providing supplementary information. Also, to assist on the license processing as well and resulted in speeding up processing time of license application.",部門提供了多種渠道供公眾提交申請，例如通過安全的電子交易平台提交申請表格，親身前往地區辦事處的服務櫃檯或郵寄提交。申請人在提交申請表格時，需要一併提交不同類型的證明文件（例如BRC副本，水費單，對環境影響的技術評估，總體規劃及圖紙）。借助OCR和RPA技術，可以由系統執行一些預設的文件檢查工作，從而盡快通知申請人補充所需要的證明文件。另外，還可以幫助內部的審批流程 ，從而加快了牌照申請的處理時間 。,"Environment
","Artificial Intelligence (AI)
Machine Learning
Robotic Process Automation
Optical Character Recognition
","Smart license processing virtual robot. The department needs to process over 40 different types (around 11,000 applications annually) of license / permit application. Despite the department is using an e-workflow system to handle the license applications, considerable manual efforts are spending on applications through paper forms. The manual verifications on information completeness and accurateness resulted in prolong processing time. This pilot initiative is aiming to introduce OCR and RPA to minimize the needs of manual intervention throughout the license application handling process.. The department has provided various channels for public to submit their applications e.g. electronic submission through a secured electronic transaction platform, by hand to department's service counter in regional offices or by post. Applicants are required to submit different types of supporting documents (e.g. BRC copy, water bills, technical assessment on the environmental impact, block plan, drawings, etc.) along with the application forms. With the help of OCR and RPA, some pre-screening tasks could be performed to shorten the turnaround time in providing supplementary information. Also, to assist on the license processing as well and resulted in speeding up processing time of license application."
N-0078,Integrate and analyse GIS and BIM data and visualise environmental impacts at CAVE,整合及分析地理資訊系統和建築信息模擬數據並透過沉浸式模擬實境系統將環境影響視像化,"To enhance screening and scoping of environmental issues and facilitate better public engagement in coordinating environmental planning and assessment for large scale landuse proposals and development projects, the department is considering to perform analysis of environmental information and data embedded in geographic information system (GIS) and Building Information Modelling (BIM) software, and visualise the potential environmental impacts (i.e. air quality, noise, water quality, hazard to life, etc.) using an installed Cave Automatic Virtual Environment (CAVE) system.",為提升對環境影響的篩選和界定及促進公眾參與以協調大型土地利用和發展項目的環境規劃和評估，部門正考慮利用已安裝的沉浸式模擬實境系統，對環境信息和已存於地理信息系統和建築信息模擬的數據進行分析，並視像化各類潛在的環境影響（包括空氣質素，噪音，水質，生命危害等）。,"Utilising the immersive function of CAVE system and integrating with GIS and/or BIM software to present technical environmental data and visualise the potential environmental impacts (i.e. air quality, noise, water quality, hazard to life, etc.) of large scale landuse proposals and development projects.",利用沉浸式模擬實境系統和與地理信息系統／建築信息模擬的整合，展示技術環境數據和視像化大型土地利用和發展項目的潛在環境影響（包括空氣質素，噪音，水質，生命危害等）。,"Environment
","Data Analytics
Virtual Reality
","Integrate and analyse GIS and BIM data and visualise environmental impacts at CAVE. To enhance screening and scoping of environmental issues and facilitate better public engagement in coordinating environmental planning and assessment for large scale landuse proposals and development projects, the department is considering to perform analysis of environmental information and data embedded in geographic information system (GIS) and Building Information Modelling (BIM) software, and visualise the potential environmental impacts (i.e. air quality, noise, water quality, hazard to life, etc.) using an installed Cave Automatic Virtual Environment (CAVE) system.. Utilising the immersive function of CAVE system and integrating with GIS and/or BIM software to present technical environmental data and visualise the potential environmental impacts (i.e. air quality, noise, water quality, hazard to life, etc.) of large scale landuse proposals and development projects."
N-0079,Automatic processing and chasing of documents,自動處理和追收文件,"The existing business workflow involves handling of large amount of documents of various type that are required to be submitted by government departments or contractors via email by the deadline.  Relevant information is then captured manually from the submitted documents into spreadsheet which will be uploaded to computer system.  The processing officers are required to identify missing information, verify the correctness of the information specified on the documents against pre-defined rules, and follow up with the document submitters verbally or through email.  The processing officer is also required to send reminders to chase for outstanding submission, of which certain types of document also have stringent chasing procedures, and the operations are being managed through the use of spreadsheet logged the date of issued reminders etc.  The process is repetitive and inefficient, and deemed incapable of handling the foreseeable growth in the number of submitted documents.",現有業務工作流程涉及處理大量各類型文件，而政府部門或承辦商須在限期或之前通過電郵提交這些文件。處理人員接着需以人手把提交文件中的相關資料收納至試算表，然後上載至電腦系統。處理人員須找出欠缺的資料，根據預先訂定的規則核實文件中的資料是否正確，並通過口頭或電郵方式與文件提交者跟進。處理人員亦須發出催辦通知書追收逾期未交的文件，當中某些類型的文件也有嚴格的追收程序，同時通過使用試算表記錄催辦通知書的發出日期等管理有關運作。這些程序既重複且欠缺效率，無法應付提交文件數目可預見的增長。,"With the business process re-engineering and the application of robotic process automation, workflow automation, machine learning and other innovative technologies, the solution should be able to automate chasing of outstanding documents, largely reduce human effort in document processing, and provide real-time statistics and alerts for better monitoring purposes.",隨着業務程序的重組，以及機械人流程自動化、工作流程自動化、機器學習及其他創新技術的應用，有關解決方案應可自動追收逾期未交的文件，大大減少處理文件所需的人手，並提供實時統計資料及提示，以更有效監察相關工作。,"Contract Management合約管理
","Artificial Intelligence (AI)
Machine Learning
Robotic Process Automation
Workflow automation工作流程自動化
","Automatic processing and chasing of documents. The existing business workflow involves handling of large amount of documents of various type that are required to be submitted by government departments or contractors via email by the deadline.  Relevant information is then captured manually from the submitted documents into spreadsheet which will be uploaded to computer system.  The processing officers are required to identify missing information, verify the correctness of the information specified on the documents against pre-defined rules, and follow up with the document submitters verbally or through email.  The processing officer is also required to send reminders to chase for outstanding submission, of which certain types of document also have stringent chasing procedures, and the operations are being managed through the use of spreadsheet logged the date of issued reminders etc.  The process is repetitive and inefficient, and deemed incapable of handling the foreseeable growth in the number of submitted documents.. With the business process re-engineering and the application of robotic process automation, workflow automation, machine learning and other innovative technologies, the solution should be able to automate chasing of outstanding documents, largely reduce human effort in document processing, and provide real-time statistics and alerts for better monitoring purposes."
