Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website
S-0119,Ziizau - Optimization of route design,,Cyberlogic Bt.,,"Ziizau is a mobile application that optimizes route design, finds the shortest travel route.

The application provides the user an interactive interface for route planning by a detailed map view. Routes are defined by selecting locations on the map, they are called waypoints. The waypoints can be added manually or automatically by importing them from a data file. One of the waypoints is designated as the starting location for the route.

Route optimization is based on finding the shortest path regarding the travel distance that connects all the waypoints. The optimization process is done in seconds or less and it takes into account natural obstacles (for example rivers or islands). The result is drawn on the map by connected waypoints as the shortest route. Besides the optimized route, more information is available like the route length, duration or the actual coordinates of the route waypoints.

Ziizau application can be easily modified to meet the required service needs:
- The input of the route information can be automated. Data can be taken from an already existing database or imported from mobile systems. GPS data can be converted into route waypoints.
- Analytics can be applied on the database in order to label waypoints with meta data that helps the optimization process to make more accurate decisions.
- Waypoints can be defined by manual location selection, address search or lat/lon coordinate input.
- Additional information can be added to each waypoint (for example extra time spent at the location) and it will be taken into account at the optimization process.
- Meta data / labels can be attached to waypoints that will serve as visualization aids, they can be shown on the map view.
- The route optimization process can be adjusted for the shortest travel distance or for the fastest travel time, also the maximum number of optimizable waypoints can be increased.
- Waypoints along with their optimized routes can be stored into the system, organized into different categories. The stored data / results can be quickly loaded by selections from lists.
- Data export can be added for the selected or all the optimized routes and their relevant information.
- Integration with other systems through web service calls and / or moving the system into cloud.","Commerce and Industry
Infrastructure
Transport
","Cloud Computing
Data Analytics
Machine Learning
Mobile Technologies
Predictive Analytics
","The Ziizau application can be useful in many scenarios. Primary application can be route optimization for mail delivery in the city. It can help find the shortest routes including travel distance or fastest delivery time. Complete route planning process can be automated and enhanced with self-learning capabilities.

In case there is an already existing database with location and other meta data, by using various methods, predictions can be made and new information can be produced that helps the optimization process. Optimization can be more accurate in cases, when:
- Locations are labeled with weights for different time frames
- Locations have adjusted or variable time or travel distance data
- Locations can be enabled / disabled
- Location groups can be created to ease rule applications on them
- Measured data about optimized routes can be used as feedback for future re-optimizations

Areas of possible usage, scenarios that can benefit from route optimization:
- Mail / goods delivery
- Workforce transportation
- Logistics
- City transportation system optimization",http://www.lightphaser.hu/ziizau/
S-0120,Raspect-ACE,維視拍,RaSpect Intelligence Inspection Limited,維視拍智能檢測有限公司,"RaSpect is an AI-powered predictive inspection company for Architecture. With the integration of IoT sensing technology and robotics system, the process of data collection is automated and standardized to achieve remote detection and real-time monitoring. Establish high-quality inspection big data, cooperate with deep learning, image recognition, data model analysis and other cutting-edge technologies to conduct early warning analysis for building safety. We can effectively assess the potential risks of architectures and calculate the degree of damage after comprehensive analysis of the above data. Our solution not only provides more accurate detection and analysis than traditional methods, but also saves more than 50% of time and cost. Our mission is to create a safer and smarter society through artificial intelligence detection technology.","City Management
Development
Housing
Infrastructure
Transport
E&M, Building Services
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Predictive Analytics
Robotic Process Automation
Video Analytics
","Megabox Curtain Wall Inspection
Hong Kong Electrics Substations inspection
One Silversea Cladding inspection
Great Eagle Ontolo façade inspection
Langham Place Floating Roof inspection
Wonderland Villa Façade Inspection
Schindler Lift monitoring
HKE/CLP Pylon Tower Inspection for Kum Shing Engineering",www.raspect.ai
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,追一科技聊天機器人與NLP應用,ZhuiYi Technology Hong Kong Limited,追一科技香港有限公司,"We are an AI company with special focus on natural language processing (NLP) and deep learning. Since founded in 2016, we have had multiple chatbot project experiences for over 100 key accounts covering finance, telecom, internet, utility and other industries. Our clients include China Merchants Bank, PICC, Futu Securities, DiDi, China Mobile, Ctrip, etc. We can deploy our service via web page (H5), App, Wechat, Whatsapp and other common instant messengers. The chatbot can cover general FAQ, task completion and knowledge-based inquiry. Our chatbot can understand users' real intents, answer the question, generate a work order, and guide the users to complete a task/request step by step (i.e. a maintenance request) via conversational UI. We demonstrate a track record, including average 90%+ of accuracy and help our clients significantly reduce the pressure from customer service and increase the self-resolution rate to 80%. Our project team includes project manager, system architecture, data manager and product manager who together ensure the service quality and excellent result. In addition, the advantage of our chatbot system is it only requires light and smart maintenance effort that a normal trained employee can handle it. We believe our solution can significantly reduce workforce and release human for cognitive and creative tasks.","City Management
Climate and Weather
Commerce and Industry
Education
Employment and Labour
Finance
Health
Housing
Law and Security
Population
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
","ZhuiYi developed a chatbot project for China Merchants Bank which is the largest retail bank in China. Our chatbot connects to 2 channels: App and Wechat Official Account, for banking customer to access account and banking service. For example, customer can ask general service question about the bank or products/services or manage banking accounts. In addition to the simple request, customer can also access to more completed services, such as credit card limit increase or installment plan application. We help CMB manage over 5,000 pieces of data and cover more than 60,000 inquires every day. We also achieved 95% accuracy of intention recognition and 80% self-resolution rate. Furthermore, for more complicated issue, chatbot can also transfer customer to proper agent based on the request category and agent's speciality. Overall the first-time resolution rate is improved. 

In addition to chatbot project, ZhuiYi also tackles other NLP related projects, such as phone bot, AI assistant to human, and NLP-based OCR.",zhuiyi.ai/en
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control","智慧城市解決方案-物聯網,人工智能,大數據平臺, 控制一體化",IT Channel (Asia) Limited,科技導航(亞洲) 有限公司,"We are Data Management Expert in Hong Kong, providing IT professional service. We are focus in Data Management related to IoT, Big Data, AI solutions.  Smart City/ Smart Campus solutions is under IoT solutions.

Our IoT solution is End-to-End Smart City total solution:
- IoT Device Data Collection
- Data Process : ETL and Data warehouse
- Data Analytic : Data Visualization (could be embedded AI)
- Control 

The major 4 x achievements for our IoT solutions: 
- Energy Optimization 
- Staff Productivity 
- Facility Management 
- Predictive Maintenance 

By this end to end solution, not only current report could be provided, but also forecast and AI/Deep Learning could be adopted for future planning and management. 

We are the Data Management Expert in HK , over 30 years IT experience as our management, we have over 120  staffs and successfully delivered over 500 + cases. HKUST, PolyU, CUHK, HKBU, VTC, Housing Society, Hospital Authority, Airport Authority, MTRC are our clients. We believe we could provide professional service as well.","City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Natural Language Processing
Predictive Analytics
Radio Frequency Identification (RFID)
Video Analytics
","There are many use cases our solutions could be tailor-made for. By IoT device/ BMS, we collect data, we process Data Platform for Data Analytics, through device control/BMS integration, we help user to do control.

Here are some use cases(not limited to below): 
- Solution of Smart Campus
- Solution of Smart Car Park 
- Solution of Smart Toilet 
- Solution of Smart Hospital / Elderly Center
- Solution of BMS integration 
- Facial Recognition (Door access, usage control, etc) 
- Solution of Smart Class Room 
- Solution of Environment/Energy Data Collection 
- Solution for Existing A/C or Laundry Metering (with mobile app e-payment)   
- Solution of Facility / Fixed-Asset Management 
- Solution of Smart Door Lock 
- Solution of Smart Lighting System ( e-charging, Navigation, etc) 
- Solution of Crowd Control /People Counting/ Person’s Location 
- Solution of GIS (Geographic Information System) Patrol",http://www.itchannel.com.hk
S-0123,Complete Encryption with HSM,,nCipher Security (Hong Kong) Limited,nCipher Security (Hong Kong) Limited,"The general purpose HSM market is growing quickly, driven by global demand for stronger data and application security, increased encryption, and privacy regulations such as the EU General Data Protection Regulation (GDPR) and the electronic identification, authentication and trust services (eIDAS).
HSMs offer the highest levels of cryptographic security, and are deployed to minimize network and cybersecurity risks from cloud services, Internet of Things.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Blockchain
Cloud Computing
Internet of Things (IoT)
Mobile Technologies
Cyber Security
",Our solutions can support all the government solutions to provide the different layer encryption and encryption key management solutions to make the existing solutions or new projects more secure and safe according to security requirements.,www.ncipher.com
S-0124,Enterprise Intelligent Assistant,,Mindlayer Limited,,"Enterprise Intelligence Assistant
- Composed of state-of-art technologies in particular NLP and Machines Learning
- Support Voice Recognition of mixed Chinese and English content
- Tailored solution suit various industries including Government Departments, Public Utilities and Financial Services etc.

1. Chatbot
- Apply Cantonese NLP and capable to handle mixed code of Chinese and English
- Support multilingualism to offer language localization
- Build your own Chatbot with the drag-and-drop Dialogue Builder require no programming skill
- Enable intent-based conversation with target customers
2. Voicebot 
- Support voice recognition in multi-languages
- Guarantee the accurate comprehension of industrial-specialized language
- Apply Deep Learning Speech-To-Text (STT) and Text-To-Speech (TSS)
- Support integration with your database to offer personalized services
3. TeamLayer
- Integrate seamlessly with the system of your company 
- Assemble similar topics to visualize your customers’ expectation
- Handle multiple and repetitive conversations
- Enhance your customer’s experience with your company","Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Finance
Recreation and Culture
Transport
Business, Meteorology
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
Predictive Analytics
Robotic Process Automation
Video Analytics
Technical Flow
","Chatbot
Our customised Chatbot helps to guide users to reach their destinations and offers suggested routes through the interactive conversations. Rich widget responses such as cards and images are included to give quick replies. User experiences are enhanced with the assistance provided by our Chatbot.
Voicebot
The human-like Voicebot acts as the role of a customer service officer to handle customers’ enquiries and complaints. She is capable to recognize voices with the mixed languages of Cantonese and English. Real-time responses facilitate dynamic interactions between our Voicebot and users.",https://smartlab.mindlayer.io/
S-0125,"BIM, BMS and IoT Integration","'建筑信息模型', '楼宇管理系统' 和 '物联网' 整合",E Tag Solution & Services Ltd.,宜達流動通訊科技有限公司,"By combining Building Management System (BMS) and IoT data in together, the BMS / IoT data is shown on Building Information Model. According to the BMS / IoT data values, the heatmap can be generated on the BIM for ease of visualization by general users. For example, temperature/humidity values, energy usage. etc.","City Management
Development
Housing
Infrastructure
","Internet of Things (IoT)
Building Information Modelling (BIM)
","Companies like Johnson Controls, Siemens and Honeywell make BMS systems tailored for applications in very large buildings, typically focused on HVAC system management. Unfortunately, BMS is expensive and requires specialized installation, programming and maintenance. It is rather difficult to combine the BMS with an external IoT data come from other vendors. For example, washroom occupancy data, IAQ sensor, etc.

The BMS system console is delivered in a thick client on PC desktop. It comes with technical details which targets for engineering application. For management staff usage, the application shall be delivered in a modern web client by an elegant UI design for easy understanding. The customer needs a single console to monitor the overall building data (BMS + IoT data).

If the BIM model is available, the BMS / IoT data can be displayed on BIM model.                       
                                                                            
Benefit Summary:
1. Cost Saving
2. Ease of usage 
3. Overall building data monitoring (BMS + IoT)
3. Flexible client deployment
4. IoT + BMS data display on BIM model",www.etag-hk.com
S-0126,Self Service Business Intelligence,,On Talent Technology Ltd,安迪科技有限公司,Self Service BI helps to discover data insight across multiple data sources to help make decision faster and more accurate.  The ease of building data modelling makes launch of services fast even applicable to ad hoc requirements.,"Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
","BI helps identify trends of different age group in using different health services, displaying those trends in highly visible dashboards.",www.on-talent.com
S-0127,Event Management technology,智能活動管理系統,EVENTION,優迎,"Evention is a mobile-based event management solution to help you breeze through every step of an event and elevate your event organizing experience from preparation, execution to evaluation, as well as to create premium experience for your guests.","Employment and Labour
Recreation and Culture
Event Management
","Cloud Computing
Mobile Technologies
Radio Frequency Identification (RFID)
","We provide end-to-end event technology which helps manage RSVP, provides interactive IT solutions to enhance your guests' event experience and company image. 

RSVP like sending e-invitation, developing registration form according to your needs, sending confirmation emails with QR code to guests. As the data will be stored and managed in a digital way, it can automate and streamline several time-consuming tasks, freeing up time for organisers. 

Interactive IT solutions like live polling, live Q&A, can engage your audience. Organisers can collect and analysis the data, get instant feedback to improve the event logistic at once.",https://www.eventionapp.com/
S-0128,Iris by HKT - From Surveillance to Intelligence,,CSL Mobile Ltd.,,"It is a managed video service cloud-based video management system. We offer a highly secured platform for easy view and playback via a centralized management of camera at multiple sites. The solution would turn unstructured data from video recordings into structured information e.g. People flow, Demographics, License plate recognition and Facial attendance taking.","City Management
Commerce and Industry
Education
Environment
Infrastructure
Law and Security
Population
Transport
","Artificial Intelligence (AI)
Augmented Reality
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Predictive Analytics
Video Analytics
","• Manage videos from multiple sites
• Easy and quick retrieval of video recordings
• Storage capacity with redundancy
• High flexibility for painless integration of different legacy systems
• Integrated with Video Analytics Service for enhanced safety and beyond surveillance
• End-to-end data encryption protect your video from unauthorized access
• Encrypted recordings from customer sites to storage platform
• Customized access rights for different sites and different users
• OPEX model lowers upfront investment
• Proactive monitoring by HKT Professionals",http://www.hkt-iris.com/
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,,Aisino Hongkong Limited,,"National ID card or Travel Document is an essential proof of one’s identity. How to verify and retrieve the information of the document in an automatic way are a challenge in many organizations including hotels, travel agencies, banking and finances, insurance companies, Consulate generals, immigration department, custom and exercise department, police force, airport authorities. By adapting this technology, organizations can prevent human mistake during the data manipulation and speed up the application processing time.

Aisino offers a comprehensive identity recognition solution which helps organizations to retrieve custom required information from the identity document in a blink. In addition, Aisino can capture the identify document as a proof to comply with local security regulation need in one go. Besides, we also offer mobile OCR solution on mobile phone which offers organization a mobility solution.","City Management
Health
Law and Security
Population
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Internet of Things (IoT)
Machine Learning
Radio Frequency Identification (RFID)
","Our solution can be applicable in the following areas:
- Hotels
- Travel Agency
- Banking and Finances
- Insurance Companies
- Consulate Generals
- Immigration Department
- Custom and Exercise Department
- Police Force 
- Airport Authorities",www.aisino.com
S-0130,OpenLegacy API factory,,OpenLegacy Technologies (HK) Limited,,"OpenLegacy specializes in automating API creation, optimization, testing, deployment and management for core (legacy) systems: the entire API lifecycle.

OpenLegacy's speciality is in LEGACY SYSTEMS. We are able to automatically generate micro-service based API's directly from the core legacy systems like IBM, Oracle, SAP etc. This will allow you to open up data between systems and utilise your core system even more. We are 20x faster on creating API's than any other application/vendor and we are saving up to 75% in TCO.

OpenLegacy is the young innovative company asking if you want or need to incorporate your core (legacy) systems as part of your digital strategy. We know how to slash legacy API integration from 6 months to hours, even create a legacy API in minutes. We know core (legacy) systems. We are leading the legacy API integration revolution.","City Management
Commerce and Industry
Development
Finance
Health
Infrastructure
Law and Security
Population
Transport
","Connector to legacy system
","Our API factory enable enterprises and governments to automatically generate API's from complex legacy systems. This is key when implementing new digital services and interconnection between services. Our pricing model is based on number of API's, not transaction like most vendors. We are the only one with our patented approach on generating API's from legacy systems, without an ESB layer.

Please find some use cases below:
https://cdn2.hubspot.net/hubfs/462636/CS_IAA_24Apr2019__ENG_Web.pdf
https://cdn2.hubspot.net/hubfs/462636/Partner%20Portal/Content/Sales%20Tools/Case%20Studies/CS_PanamaBank_27Sept2018_ENG_Web.pdf
https://cdn2.hubspot.net/hubfs/462636/CS_Ayalon_1Apr2019__ENG_Web.pdf
https://cdn2.hubspot.net/hubfs/462636/CS_Furniture_23Apr2019__ENG_Web.pdf",www.openlegacy.com
S-0131,ISS Project Management System,ISS項目管理系統,Access iVisions Ltd,宇视有限公司,"ISS Project Management System (ISSPM) is a 100% online project management tool.  It provides the management, project managers, core team members or even external stakeholders and working partners a virtual workspace to work together to finish the projects seamlessly.  It is running on a highly secured and efficient platform, Linux.

ISSPM has 6 modules:

1.  Workspace Module
- it has personal workspace, project workspace, business workspace & global workspace.  
- the hierarchical order inside is for team members' easy participation 

2.  Document Management Module
- version control
- audit trail
- confidential document setting
- direct receive photo from android smart phone

3.  Task Management Module
- optimize human resources allocation
- empowers the management to get the first hand information of human resources cost on each project with just a click 

4.  Forms Management Module
- allows administrator to create online-forms for their staff to fill in
- centralized forms enable management to track and trace issue/work status ...

5.  Discussion Board Module
- centralized discussion board allows participants to consolidate thoughts and ideas among themselves anytime anywhere

6.  Workflow Management Module
- route documents and forms through user-defined workflow processes for approval process.

Benefits of Linux as operating system
- choice of operating system for power sudden shut down environments
- updates will not lose connection to data
- updates will not affect the system operation nor their configurations","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Mobile Technologies
","Benefits for Management
- real time birdview and monitor project portfolio
- reduce project risk and duration
- decrease the possibility of costs overrun
- store valuable knowledge base for future improvement

Benefits for Project-In-Charge
- everyone working on the same page, easy to collaborate
- easily identify project issues, reduce project risk
- easily ensure project progress on the right track
- easily optimize human resources planning
- reduce project administration paper work

Benefits for Team Members
- easily participate and get involved
- easily find all the information of the project in one place without hassle",www.iss.com.hk
S-0132,Mobility Mesh Wi-Fi Application for Smart City,移動式多跳Wi-Fi 在智慧城市的應用,Yfisoft Limited,維快軟件有限公司,"1.	4G/LTE mesh Wi-Fi access point: 
By installing our 4G/LTE equipped mobility mesh access points, a large-scale Mesh Wi-Fi network can be easily built in outdoor area and enables all associated Wi-Fi clients connecting to network/internet by both wired and 4G/LTE access.  Rooted at our wireless research on distributed channel and fast routing optimization, instant and dynamic path changing achieves many folds improvement in Wi-Fi coverage while maintaining high throughput under unpredictable and harsh wireless environment.  Thanks to the three-radios design, throughput degrade is much minimized during multiple hopping.  Battery powered outdoor mesh access points with built-in antennas can easily extend the Wi-Fi coverage anytime to extra location where Wi-Fi connections is requested. In addition to basic configuration and monitoring features, other advanced ones like Wi-Fi coverage site survey, social login, captive portal, landing page and AI channel optimization are also provided in our enterprise grade cloud management server.  4G mesh Wi-Fi access points help in building up Wi-Fi network in area where optic fiber cabling is costly or difficult. This solution can be applied in free Wi-Fi hotspot at smart lamppost in Hong Kong so as to reduce the investment cost and simplify the installation. 

2.	Multi-profiles 4G/Wi-Fi Ethernet adapter:
At large outdoor operating area like container ports and landfill sites where 4G cellular signal is only partly covered, our unique multi-profiles 4G/Wi-Fi Ethernet adapter allows vehicular devices to use both Wi-Fi and 4G/LTE for data communication such as real-time two-way messages communication or GPS location reporting. Client devices can seamless shift between Wi-Fi and 4G/LTE connection for reliable communication when 4G/LTE is too weak to connect. The Wi-Fi coverage can be provided by using 4G/LTE mesh Wi-Fi access points. Temporary stations with high gain LTE antenna can be built in location where LTE signal is good and provide Wi-Fi signal for area where LTE signal cannot reach. This solution can be applied for client devices that need real time data communication in remote areas of Hong Kong that 4G/LTE coverage is marginal such as landfill sites and new development zones.

3.  Multilingual docent in Wi-Fi Access Point
It is an intelligent Access Point special designed for multimedia multicasting.  Multilingual multimedia is preloaded in the Access Point and can be updated whenever there is 4G/LTE access to the server.  During a trip on coach or bus, as well as participation in an exhibition, show or performance, audience can choose their mother tongue spoken language at their mobile app. Then media with same content but in different language can be sent to different audience mobile phones at the same time. The media content selected depends on audiences’ location during the trip or under manual control by performers. Location of audience is identified by either reading GPS data within AP, reading an external i-beacon sensor or scanning an QR-code by mobile phone.   The mother language acoustic/video guide provided by this smart Access Point helps raising audience sense of involvement in public performance, in sightseeing tours, on the tourist bus, or visiting government departments.","Infrastructure
Recreation and Culture
Transport
","Cloud Computing
Mobile Technologies
Wi-Fi
","1.	4G/LTE mesh Wi-Fi access point: 
This solution can be applied in a free Wi-Fi hotspot at a smart lamppost in Hong Kong so as to reduce the investment cost and simplify the installation.

2.	Multi-profiles 4G/Wi-Fi Ethernet adapter:
This solution can be applied for client devices that need real time data communication in remote areas of Hong Kong that 4G/LTE coverage is marginal and optic fiber cabling is impossible.  Landfill sites and new development zone in Hong Kong are potential users.

3.	Multilingual docent in Wi-Fi Access Point
The mother language acoustic/video guide provided by this smart Access Point helps raising audience sense of involvement in public performance, in sightseeing tours, on the tourist bus, or visiting government departments. This solution can replace the traditional public address system that will broadcast audio in different languages consecutively. That is annoying and not efficient.",http://www. yfisoft.com
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,,PANGA,,"Panga provides a network infrastructure for Smart Cities, collecting all data, from IoT devices, connected buildings and users, and processes them locally (Edge Computing), for a more efficient, secured, scalable resilient access to Smart Data 
Protocol independent, Saving over 50% of energy, Secured the next generation of Operating System dedicated to SmartCity services.","Broadcasting
City Management
Environment
Infrastructure
Data Security
","Artificial Intelligence (AI)
Blockchain
Data Analytics
Internet of Things (IoT)
Mobile Technologies
Radio Frequency Identification (RFID)
Robotic Process Automation
","Panga's Smart City Infrastructure supports existing and emerging use cases by consolidating access to data :
- Geo-location, Video data processing, Mobility, Safety
- Interaction with Smart Devices 
- Document/process-based systems 
- Energy saving 
- Safety Alerts",panga.fr
S-0134,Smart Building - Energy Management and Optimization Solutions,,Envision Digital Hong Kong Limited,,"Riding on the cutting-edge technology of AI/ML and IoT, Envision Digital has been deployed several successful cases of Smart Building Projects in Singapore, Shanghai and Beijing. 
Our Smart building solution brings values to property developers, FM team and tenants in terms of energy conversation, comfort & safety, efficiency, intelligence and optimizing the workload of FM staff by predictive maintenance method. In which, EnOS AloT platform is playing an important role, this operating system is for enterprises and cities to accelerate digital transformation and ecosystem development. Currently, EnOS is widely adopted by Energy and Smart City Sectors in which it was over 500M devices and managed 100GW assets operated in this platform.

Our Energy Management and Optimization Solution is based on our self-developed EnOS platform, high resolution weather applications as well as actual heat map distributions to optimize the cooling system of the building to make it more energy conservation and efficiency. What’s more, dashboard visibility, energy optimization, weather forecast, space occupancy booking, intelligence reports, predictive maintenance and minimize the workload of FM staff are those functions you would find in our Smart Building Solutions. With our Digital Twin view, Property Developers or Facility Management would have a holistic view to manage & control energy, office space, shopping mall, carpark, equipment, electrical appliances, sensors and all devices within the building. 

Regarding the compatibility with existing systems in the building, EnOS is SaaS based platform which are highly compatible with all kind of systems included BMS and BAS as long as those existing could open API to EnOS to capture the real time data to compute the AI pattern. More data and more training time, AI engine would be more intelligence for adopting the building environment.","City Management
Climate and Weather
Commerce and Industry
Development
Environment
Health
Housing
Infrastructure
Recreation and Culture
Transport
","Internet of Things (IoT)
",Use Case has been given as the solution descriptions,www.envision-digital.com
S-0135,ISS Analytics Services,,Access iVisions Ltd,宇視有限公司,"We have an experienced team in data analytics and machine learning and are delighted to provide you with advisory, behavior pattern uncovered, predictive model building and support.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Data Analytics
Internet of Things (IoT)
Machine Learning
Natural Language Processing
Predictive Analytics
","Data analytics and machine learning today can analyze massive historical data sets including millions of pages of unstructured text to identify patterns and forecast potential problems.  

These abilities empower the government to direct resources toward fixing problems before they arise.  To prevent the anticipated problems is always much less expensive than fixing the problems when they occur.",www.iss.com.hk
S-0136,Document Authentication,文檔驗證,NFC Touch Limited,NFC Touch Limited,"Fake or false documents feature in the majority of modern financial frauds are the greatest menace facing in the international trading community.

Financial institutions, traders, insurance companies, shipping agents and other intermediaries all rely on transport documents such as Bills of Lading, Seaway Bills, Airway Bills, CMR and FCR when making decisions. A document that appears genuine can induce a bank to pay for goods or finance a trade. It can prompt an insurance company to grant cover on a ship or shipment, or indemnify a fraudulent claimant. It may lead a shipping agent to release a cargo to someone that is not entitled to it.

It is important to remember that any document can be forged. In today's business world, fake documents mostly copy the style of a legitimate trader and it can be difficult for a non-experienced eye to spot the difference.

Documents for tax and probate purposes, regulatory paperwork for agency requirement certifications, the list goes on.

Our solution, TRUSTDoc enable instant document authentication and connect document authenticator with the originator Anytime, Anywhere.","City Management
Commerce and Industry
Education
Employment and Labour
Finance
Housing
Law and Security
Social Welfare
","Mobile Technologies
Radio Frequency Identification (RFID)
","By printing the legal documents on paper provided by TRUSTDoc, you are allowing authentication of your documents for any international affair. Inside and outside of the corporate world, the chain of trust that document authentication creates can be used extensively. If the person checking your document is unsure, they can authenticate the document you provide instantly with their mobile phone and contact the document owner accordingly when necessary.

Just like a credit card transmits a one-time transaction code that’s encrypted. It doesn’t give the detail needed for online authentication. The information that can be skimmed is simply not enough to enable the hacker to counterfeit your document. Everything is encrypted and can be read only by authorized and authenticated readers.",https://nfctouch.com.hk/nfcauthentication.html
S-0137,Splunk,,UDS Data Systems Limited,UDS Data Systems Limited,"Splunk (the product) captures, indexes, and correlates real-time data in a searchable repository from which it can generate graphs, reports, alerts, dashboards, and visualizations. Splunk is a horizontal technology used for application management, security and compliance, as well as business and web analytics.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Machine Learning
Predictive Analytics
","For Public Sector agency leaders who need to ensure the success of their missions, Splunk offers a Data-to-Everything platform that drives confident decisions and decisive actions through real-time, data-driven insights.",www.udshk.com
S-0138,Radware DefensePro and AppWall,,UDS Data Systems Limited,聯合數據系統有限公司,"DefensePro provides advanced DDoS prevention, protection and IoT botnet attack mitigation. DefensePro is an award-winning, real-time, perimeter DDoS defense and attack mitigation device, securing organizations against emerging network and applications threats.

Part of Radware’s attack mitigation solution, DefensePro provides automated DDoS defense and protection from fast moving, high volume, encrypted or very short duration threats, including IoT-based attacks like Mirai, Pulse, Burst, DNS, TLS/SSL attacks and those attacks associated with Permanent Denial of Service (PDoS) and Ransom Denial-of-Service (RDoS) techniques.  More info at: https://www.radware.com/products/defensepro-models/

AppWall - Radware’s Web Application Firewall (WAF), ensures fast, reliable and secure delivery of mission-critical Web applications for corporate networks and in the cloud. AppWall is an ICSA Labs certified and PCI compliant WAF that combines positive and negative security models to provide complete protection against web application attacks, web application attacks behind CDNs, API manipulations, advanced HTTP attacks (slowloris, dynamic floods), brute force attacks on login pages and more.

A core and integrated part of Radware's Attack Mitigation Solution – a complete application and network security suite. AppWall is a web application firewall (WAF) that provides patent-protected technology to create and maintain security policies in real-time for widest security coverage with the lowest false positives and minimal operational effort. Radware’s Web application security technology features a variety of deployment modes – as a stand-alone or integrated on an ADC, on-premise and in the cloud, inline or out-of-band. More details at: https://www.radware.com/products/appwall-models/","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Internet of Things (IoT)
Machine Learning
","More details are available here:
1. https://www.radware.com/solutions/government/",www.udshk.com
S-0139,imVision,,UDS Data Systems Limited,聯合數據系統有限公司,"imVision is a market leader in API security solutions, its API Anomaly Management Platform (AAMP) is commercially deployed worldwide, including Fortune Global 500 customers, analyzing APIs for over end users.

The inherent lack of API security and their proprietary nature makes them a prime target for the next big wave of cyber-attacks. The Open Web Application Security Project (OWASP) defines a dedicated Top 10 for API Security threats, where the majority of API threats are caused by logical failures at the application layer imVision enables service providers to protect their operations against API-driven attack such as data breaches, account takeover, fraud and application level denial of service.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Machine Learning
Natural Language Processing
","imVision’s patented technology uses automated learning of the “API Language” to build in-depth, granular behavioral models of data content, context and business logic and enforce them in real time. The Anomaly Management Platform (AMP) identifies and reacts to suspicious behavior on APIs, providing a unique advantage in mitigating attacks on APIs.",www.udshk.com
