Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website,Model Input
S-0239,InterOps Accelerator,,Securli Limited,,"We develop our InterOps Accelerator ( iA ) to be a PaaS ( Platform as a Service ) ecosystem with the intention of automate process to achieve reduction of MTTD & MTTR ( Mean Time to Detection & Resolution , ) gain efficiency , and close the gap between IT operation & cybersecurity . All with a goal of SecOps Automation . The challenge currently in Security Operations be 1 ) a shortage in skilled resource , 2 ) an increase volume of threat and impossibility of rely upon manual operation , 3 ) a lack of integrated solution ( or Single Pane of Glass , “ SPoG ” ) to visualize analyzed Big Data , automate in the resolution process to reduce cyber risk as rapidly as they be increase . We refer to the way we address the 3rd problem as AI2 or Artificial & Augmented Intelligence . This ecosystem will provide preventative intelligence for any organization to address identified vulnerability and deploy test remediation base upon community input or our PaaS validation to execute the resolution process with or without iA . Or Preventative Intelligence can be access by subscription or without charge to reduce the MTTD & MTTR .","City Management
Commerce and Industry
Development
Education
Employment and Labour
Finance
Infrastructure
Law and Security
Transport
","Artificial Intelligence (AI)
Blockchain
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Predictive Analytics
","The ecosystem and its preventive intelligence will benefit any organization that need to reduce the cyberattack risk by participation , with or without a fee . The correlated , test , and weight intelligence with remediation recommendation be for those organization to access and in return to contribute their feedback to improve the accuracy and broaden the knowledge for all .",www.securli.com,"InterOps Accelerator. We develop our InterOps Accelerator ( iA ) to be a PaaS ( Platform as a Service ) ecosystem with the intention of automate process to achieve reduction of MTTD & MTTR ( Mean Time to Detection & Resolution , ) gain efficiency , and close the gap between IT operation & cybersecurity . All with a goal of SecOps Automation . The challenge currently in Security Operations be 1 ) a shortage in skilled resource , 2 ) an increase volume of threat and impossibility of rely upon manual operation , 3 ) a lack of integrated solution ( or Single Pane of Glass , “ SPoG ” ) to visualize analyzed Big Data , automate in the resolution process to reduce cyber risk as rapidly as they be increase . We refer to the way we address the 3rd problem as AI2 or Artificial & Augmented Intelligence . This ecosystem will provide preventative intelligence for any organization to address identified vulnerability and deploy test remediation base upon community input or our PaaS validation to execute the resolution process with or without iA . Or Preventative Intelligence can be access by subscription or without charge to reduce the MTTD & MTTR .. The ecosystem and its preventive intelligence will benefit any organization that need to reduce the cyberattack risk by participation , with or without a fee . The correlated , test , and weight intelligence with remediation recommendation be for those organization to access and in return to contribute their feedback to improve the accuracy and broaden the knowledge for all ."
S-0240,Multilingual Voice Assistant,多語種語音助手,Smoothweb Technologies Limited,,"Mobile App with multilingual voice and text capability for speaker of any language . Make request , ask for information , change schedule provide content on voice request . Instant reply to intent come back and if in multilingual mode , request be send out , translated and send back in speaker 's language . Cloud management system log all request ( in any language ) . See bottleneck , manage realtime communication , take action on popular request . Use case : facility management , hospitality , hotel , tourism , event , exhibition , healthcare , banking , insurance , government information ( COVID-19 )","City Management
Commerce and Industry
Education
Employment and Labour
Finance
Health
Law and Security
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Natural Language Processing
Robotic Process Automation
","Government department can each have a voice assistant and chatbot which provide information in multiple language . The App be trigger by voice and/or text can provide simple information in realtime , answer to request , book for appointment , deliver document to a mobile device . Benefits : Reduce labour cost for service information and enhance and/or take over the job of a call centre . Provide realtime update to information on the cloud . Analyses which information be most popular . Reduced cost and time to set up compare to other alternative voice solution : Our model use elastic intent model so we only need to train a single intent and the model replicate all variation . Single language training model replicate to all other language so no need to pay for development for each language add . Cost : setup fee for identify and model the base intent . Monthly license fee to cover the request to the cloud server . Cloud deployment - No capex need .",https://smoothweb.com,"Multilingual Voice Assistant. Mobile App with multilingual voice and text capability for speaker of any language . Make request , ask for information , change schedule provide content on voice request . Instant reply to intent come back and if in multilingual mode , request be send out , translated and send back in speaker 's language . Cloud management system log all request ( in any language ) . See bottleneck , manage realtime communication , take action on popular request . Use case : facility management , hospitality , hotel , tourism , event , exhibition , healthcare , banking , insurance , government information ( COVID-19 ). Government department can each have a voice assistant and chatbot which provide information in multiple language . The App be trigger by voice and/or text can provide simple information in realtime , answer to request , book for appointment , deliver document to a mobile device . Benefits : Reduce labour cost for service information and enhance and/or take over the job of a call centre . Provide realtime update to information on the cloud . Analyses which information be most popular . Reduced cost and time to set up compare to other alternative voice solution : Our model use elastic intent model so we only need to train a single intent and the model replicate all variation . Single language training model replicate to all other language so no need to pay for development for each language add . Cost : setup fee for identify and model the base intent . Monthly license fee to cover the request to the cloud server . Cloud deployment - No capex need ."
S-0241,Intelligent Data Platform,,Gekko Lab,,"`` Intelligent Data Platform '' be a total solution which ( 1 ) automate the process of data mine process , ( 2 ) provide a platform for search , analyze and visualize large amount of text data in different format . This enhance user ' capability to quickly collect data to find insight from a large amount of unstructured data . The `` Intelligent Data Platform '' be unique with the following feature : ( 1 ) a powerful search algorithm that can match similar context and support complex search logic , ( 2 ) customizable filter to narrow down the result accord to customize rule and taxonomy , ( 3 ) similarity search to automatically find related document , ( 4 ) machine read extraction that support OCR and more complex extraction rule , ( 5 ) support integration and add-on such as RPA , ERP and chatbots . The type of data format we support include but not limited to PDF ( text-searchable or image ) , JPEG , TIFF , PNG , DOC/DOCX , XLS/XLSX , etc . Key benefit : 1 . Smarter than “ Google ” with customizable synonym dictionary . 2 . No more `` Ctrl+F '' : the solution save time with click-to-highlight function to pinpoint key phrase from any hundred page of document . 3 . Customizable filter to allow flexibility to add and edit filter 4 . Fast ROI : browser-based , easy to deploy and operate .","City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
Predictive Analytics
Robotic Process Automation
",1 . Document search - Search context from large stack of document of different type . 2 . Data capture - Capture key content from large amount of document at scale and low cost . 3 . Process automation - Automate any process involve unstructured data extraction . 4 . Content intelligence - Answer critical question from lengthy document such as clause and rule for decision making .,www.gekko.ai,"Intelligent Data Platform. `` Intelligent Data Platform '' be a total solution which ( 1 ) automate the process of data mine process , ( 2 ) provide a platform for search , analyze and visualize large amount of text data in different format . This enhance user ' capability to quickly collect data to find insight from a large amount of unstructured data . The `` Intelligent Data Platform '' be unique with the following feature : ( 1 ) a powerful search algorithm that can match similar context and support complex search logic , ( 2 ) customizable filter to narrow down the result accord to customize rule and taxonomy , ( 3 ) similarity search to automatically find related document , ( 4 ) machine read extraction that support OCR and more complex extraction rule , ( 5 ) support integration and add-on such as RPA , ERP and chatbots . The type of data format we support include but not limited to PDF ( text-searchable or image ) , JPEG , TIFF , PNG , DOC/DOCX , XLS/XLSX , etc . Key benefit : 1 . Smarter than “ Google ” with customizable synonym dictionary . 2 . No more `` Ctrl+F '' : the solution save time with click-to-highlight function to pinpoint key phrase from any hundred page of document . 3 . Customizable filter to allow flexibility to add and edit filter 4 . Fast ROI : browser-based , easy to deploy and operate .. 1 . Document search - Search context from large stack of document of different type . 2 . Data capture - Capture key content from large amount of document at scale and low cost . 3 . Process automation - Automate any process involve unstructured data extraction . 4 . Content intelligence - Answer critical question from lengthy document such as clause and rule for decision making ."
S-0242,Queue-it -  Virtual Waiting Room,Queue-it - 虛擬等候房間,Master Concept (Hong Kong) Limited,思想科技香港有限公司,"Queue-it be the original virtual waiting room , design to put you back in control of your website performance during peak demand . When online visitor exceed your capacity , they be redirect to a customizable virtual waiting room and then throttle back to your website or app in a controlled first-come , first-served order . What you get with Queue-it ? Deliver Protect your reputation and create a seamless , brand experience for high-demand sale . Put visitor in a fair first-in , first-out line , harness queue psychology , and tap into social proof . Manage Control be at your fingertip with GO Queue-it , our web-based admin platform . Configure queue setting , monitor real-time queue traffic , and get data-driven insight into future sale . Protect Serve your genuine customer , not bot . Validate visitor use reCAPTCHA or Queue-it ’ s innovative Proof-of-Work challenge and verify that visitor have come from the queue . Exercise control over any situation Cover your time-limited sale Manage pre-sale build-up with a countdown pre-queue page . At sale start , visitor be randomize and assign a place in line . You neutralize any advantage to arrive early and offload early visitor from your infrastructure . People who arrive after the sale start get a first-come , first-served place in line . Queue visitor only when need Guard against sudden spike in online traffic 24/7 . Queue-it act as a safety net that keep you from crash . It constantly monitor your website and app traffic level and activate the queue only when traffic exceed the threshold you configure . Get protection where you need it Your performance bottleneck be specific to your website setup . With Queue-it you can protect your entire site or target your bad bottleneck . This flexibility mean your customer can browse and only enter the queue on resource-intensive action like “ Add to Cart ” or checkout . Queue across any device Every business have its own device mix , but the future be clearly mobile . Queue-it be build to accommodate the unique challenge of mobile queue . Visitors keep their place in line if they leave the browser or app , lock their phone , or have their phone run out of battery . Meet your customer where they be and cover all entry point to your infrastructure . Deliver a seamless brand experience Don ’ t leave your customer to decipher confuse error message or frantically refresh the page . Create a branded experience with Queue-it ’ s versatile queue page . Engage visitor with promotional marketing content and keep them update with real-time communication . You increase trust , loyalty , and customer satisfaction .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Using the CDN edge and also the bot management with the queuing software to provide a satisfied environment to visitor.
",CuMask+ website : Queue-it provide the virtual queuing page to the CuMask collection on event-based with an aim to make the visitor satisfy and feel fairness when they visit the website .,hkmci.com,"Queue-it -  Virtual Waiting Room. Queue-it be the original virtual waiting room , design to put you back in control of your website performance during peak demand . When online visitor exceed your capacity , they be redirect to a customizable virtual waiting room and then throttle back to your website or app in a controlled first-come , first-served order . What you get with Queue-it ? Deliver Protect your reputation and create a seamless , brand experience for high-demand sale . Put visitor in a fair first-in , first-out line , harness queue psychology , and tap into social proof . Manage Control be at your fingertip with GO Queue-it , our web-based admin platform . Configure queue setting , monitor real-time queue traffic , and get data-driven insight into future sale . Protect Serve your genuine customer , not bot . Validate visitor use reCAPTCHA or Queue-it ’ s innovative Proof-of-Work challenge and verify that visitor have come from the queue . Exercise control over any situation Cover your time-limited sale Manage pre-sale build-up with a countdown pre-queue page . At sale start , visitor be randomize and assign a place in line . You neutralize any advantage to arrive early and offload early visitor from your infrastructure . People who arrive after the sale start get a first-come , first-served place in line . Queue visitor only when need Guard against sudden spike in online traffic 24/7 . Queue-it act as a safety net that keep you from crash . It constantly monitor your website and app traffic level and activate the queue only when traffic exceed the threshold you configure . Get protection where you need it Your performance bottleneck be specific to your website setup . With Queue-it you can protect your entire site or target your bad bottleneck . This flexibility mean your customer can browse and only enter the queue on resource-intensive action like “ Add to Cart ” or checkout . Queue across any device Every business have its own device mix , but the future be clearly mobile . Queue-it be build to accommodate the unique challenge of mobile queue . Visitors keep their place in line if they leave the browser or app , lock their phone , or have their phone run out of battery . Meet your customer where they be and cover all entry point to your infrastructure . Deliver a seamless brand experience Don ’ t leave your customer to decipher confuse error message or frantically refresh the page . Create a branded experience with Queue-it ’ s versatile queue page . Engage visitor with promotional marketing content and keep them update with real-time communication . You increase trust , loyalty , and customer satisfaction .. CuMask+ website : Queue-it provide the virtual queuing page to the CuMask collection on event-based with an aim to make the visitor satisfy and feel fairness when they visit the website ."
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,基于深度学习技术的激光雷达道路监控方案,PlusD Technology Limited,益维科技有限公司（香港）,"Our solution be base on self-developed LiDAR component and deep-learning technique . Our LiDAR use solid-state scan method to acquire 3D point cloud information of the target at a very high dynamic range . No image information be involve in this process . Our self-developed deep-learning technology can provide function of target identification and classification . Related solution have be verify by multiple application case in Mainland China . The strength of this solution be comprehensive . Our self-developed hardware product and software function be support by our innovative entrepreneurial team , which have be widely recognize all over the world during the CES 2018 & CES 2019 . We can provide good cost control and service of customized function develop ; Moreover , it be currently the only LiDAR component that can realize mass production capability ; Finally , our related experience in various user scenario especially in similar case can provide powerful support for these project .","City Management
Population
Transport
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Optics Engineering
","Vision-based solution be widely use as a traditional method for city management , traffic surveillance and street monitoring . However , some concern relate to privacy have attract much more attention during the monitoring and surveillance process . From technical level , vision-based solution still encounter many challenge such as high dynamic range and stable performance towards the changeable environment . LiDAR be an innovative technology for active target sensing , which can be use as an alternative solution for monitor and surveillance need at privacy-sensitive scenario . No image information be directly capture from the component . 3D point cloud information be use to describe the target , include its 3D shape , 3D spatial position , and move speed . The benefit of LiDAR solution be comprehensive . No image information be include during the monitoring process can provide maximum protection of privacy . Moreover , LiDAR can provide high dynamic range detection to adapt a complex external environment , include light intensity , weather , and the speed of vehicle . Finally , the stability and reliability of our LiDAR product be trustworthy due to the requirement of the vehicle regulation level . We have already launch multiple project for traffic surveillance in mainland China . Our solution have service multiple speedway with a few hundred of LiDAR component put into use .",,"LiDAR Road Monitoring Solutions based on Deep Learning Technology. Our solution be base on self-developed LiDAR component and deep-learning technique . Our LiDAR use solid-state scan method to acquire 3D point cloud information of the target at a very high dynamic range . No image information be involve in this process . Our self-developed deep-learning technology can provide function of target identification and classification . Related solution have be verify by multiple application case in Mainland China . The strength of this solution be comprehensive . Our self-developed hardware product and software function be support by our innovative entrepreneurial team , which have be widely recognize all over the world during the CES 2018 & CES 2019 . We can provide good cost control and service of customized function develop ; Moreover , it be currently the only LiDAR component that can realize mass production capability ; Finally , our related experience in various user scenario especially in similar case can provide powerful support for these project .. Vision-based solution be widely use as a traditional method for city management , traffic surveillance and street monitoring . However , some concern relate to privacy have attract much more attention during the monitoring and surveillance process . From technical level , vision-based solution still encounter many challenge such as high dynamic range and stable performance towards the changeable environment . LiDAR be an innovative technology for active target sensing , which can be use as an alternative solution for monitor and surveillance need at privacy-sensitive scenario . No image information be directly capture from the component . 3D point cloud information be use to describe the target , include its 3D shape , 3D spatial position , and move speed . The benefit of LiDAR solution be comprehensive . No image information be include during the monitoring process can provide maximum protection of privacy . Moreover , LiDAR can provide high dynamic range detection to adapt a complex external environment , include light intensity , weather , and the speed of vehicle . Finally , the stability and reliability of our LiDAR product be trustworthy due to the requirement of the vehicle regulation level . We have already launch multiple project for traffic surveillance in mainland China . Our solution have service multiple speedway with a few hundred of LiDAR component put into use ."
S-0244,ServiceNow - ITSM solution,ServiceNow - IT服務管理系統,Master Concept Hong Kong Limited Company,思想(香港)有限公司,"Take control of IT chaos with digital workflow on a single , unified platform . ServiceNow IT workflows enable you to bridge the gap between traditional IT practice and the need of the modern business . Connect your enterprise with digital IT workflows . Modernize and automate IT Deliver great service experience . Automatically identify and resolve issue . Align initiatives across strategy and operation to boost productivity . Operate high-performing service Deliver service with visibility , security , and AIOps . Automate workflows to help you manage risk , reduce vulnerability , and optimize spend . Run IT at digital speed Scale your IT staff by use virtual agent and improve productivity with native AI . Reduce friction and risk by integrate DevOps with ITSM .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Internet of Things (IoT)
Machine Learning
Natural Language Processing
Predictive Analytics
Robotic Process Automation
","The United States Department of Energy ( DoE ) project that use ServiceNow 's cloud‑based IT service management ( ITSM ) platform would significantly save the cost of upgrade its legacy ITSM software . With a goal of improve overall service delivery , ServiceNow have give the DoE a single system of record and far superior process automation than the legacy system allow .",hkmci.com,"ServiceNow - ITSM solution. Take control of IT chaos with digital workflow on a single , unified platform . ServiceNow IT workflows enable you to bridge the gap between traditional IT practice and the need of the modern business . Connect your enterprise with digital IT workflows . Modernize and automate IT Deliver great service experience . Automatically identify and resolve issue . Align initiatives across strategy and operation to boost productivity . Operate high-performing service Deliver service with visibility , security , and AIOps . Automate workflows to help you manage risk , reduce vulnerability , and optimize spend . Run IT at digital speed Scale your IT staff by use virtual agent and improve productivity with native AI . Reduce friction and risk by integrate DevOps with ITSM .. The United States Department of Energy ( DoE ) project that use ServiceNow 's cloud‑based IT service management ( ITSM ) platform would significantly save the cost of upgrade its legacy ITSM software . With a goal of improve overall service delivery , ServiceNow have give the DoE a single system of record and far superior process automation than the legacy system allow ."
S-0245,Locobike：Automatic Bicycle Rental System,,Locolla Limited,,"Locobike provide a share bike service in Hong Kong since 2017 , our bike use a smart lock technology with the in-house developed application . Users can easy to locate the bike , unlock and settle payment from the application . Moreover , we can provide the geo-fencing function for easy to manage the bike parking and maintenance .","Environment
Health
Transport
","Internet of Things (IoT)
Mobile Technologies
","Locobike provide a budget service for the user to solve the short distance transportation problem and low-cost green transport option . For specific area , we can provide a low labor cost method to maintain the bicycle rental service .",loco.hk/bike,"Locobike：Automatic Bicycle Rental System. Locobike provide a share bike service in Hong Kong since 2017 , our bike use a smart lock technology with the in-house developed application . Users can easy to locate the bike , unlock and settle payment from the application . Moreover , we can provide the geo-fencing function for easy to manage the bike parking and maintenance .. Locobike provide a budget service for the user to solve the short distance transportation problem and low-cost green transport option . For specific area , we can provide a low labor cost method to maintain the bicycle rental service ."
S-0246,Remo Video Conferencing,,Remo,,"Remo be a video-first conferencing platform that operate as a physical online space allow user to see , hear , and feel like other user be sit next to them that match real-life human experience .","Broadcasting
City Management
Commerce and Industry
Development
Education
Employment and Labour
Finance
Recreation and Culture
","Data Analytics
Video Conferencing
","Remo can serve as a virtual conferencing platform for any government department to further stimulate intra and inter-department networking and collaboration . As compare to other video conferencing software , we offer a far more interactive form of networking which be suitable for large events/networking event .",,"Remo Video Conferencing. Remo be a video-first conferencing platform that operate as a physical online space allow user to see , hear , and feel like other user be sit next to them that match real-life human experience .. Remo can serve as a virtual conferencing platform for any government department to further stimulate intra and inter-department networking and collaboration . As compare to other video conferencing software , we offer a far more interactive form of networking which be suitable for large events/networking event ."
S-0247,Seclore Digital Rights Management,,UDS Data Systems Limited,聯合數據系統有限公司,"Seclore Rights Management in combination with Seclore Data Classification enable organization to seamlessly integrate other best-of-breed data-centric security solution ( such as DLP , CASB and eDiscovery ) to automate the end-to-end data-centric security process , from discovery to classification to protection and usage tracking . The rich library of connector and policy federation also make it easy for organization to integrate exist enterprise content management and collaboration solution ( such as email , EFSS , ERP , and ECM ) into the data-centric framework so that document be automatically classified and protect as they be download and share . Seclore Rights Management protect sensitive information regardless of device or location . Whether a file be on a server , in an email , on a mobile device , or copy to a USB memory stick unintentionally leave behind in an airport , unauthorized user will not be able to access the information . Since usage policy stay with the file , Seclore enable organization to securely adopt the Cloud , BYOD , and external collaboration . Seclore make it easy to centrally define , associate , enforce , modify and audit granular file usage permission , include : - WHO can access the file ? User or Groups Within or Outside the Organization - WHAT can they do with it ? View , Edit , Print , Copy Content , Take Screen Grabs , Work Offline - WHEN can they do it ? Automatic File Expiry , Date and Time Ranges , Number of Days from First Access - WHERE can they do it ? Specific Computers or Devices , Specific IP Address","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Data & Rights protection
","1 . Policy Federation You can automatically apply right to a file by inherit policy and map them to Seclore use Seclore ’ s Policy Federation capability . Policy Federation provide common policy administration across ERP , ECM and File-Sharing service and Seclore Rights Management . 2 . Bulk Updates Because employee join , leave and transfer to new team within an organization on a regular basis , Seclore have remove the onerous task of update user permission one at a time . With bulk update , IT can perform a mass transfer of ownership or revocation of user ’ right on protected file , and replicate a user ’ s permission to another user . These time save bulk update feature reduce the management of protected document to just one step . 3 . Protect Any File on Any Device and OS Seclore allow user to protect and utilize any type of file from any device use native application . The ability to openly utilize Rights Management across all type of document and device ensure full adoption while minimize interruption to work process . 4 . Extend the Security of ECM , DLP , ERP , CRM , Email , and File Sharing Solutions Seclore offer a rich suite of pre-built connector that enable organization to persistently control document and data as they be download from an ECM system , discover by a DLP system , share via EFSS , or attach to an email . 5 . Simplify Audit and Compliance Reporting Seclore feature automatic tracking and monitoring of file access and usage wherever they travel or reside . Ready access to consolidate data about who view the file , what they do with it , what device be use to access the file , and when , make it easy to address regulatory compliance and audit reporting requirement .",www.udshk.com,"Seclore Digital Rights Management. Seclore Rights Management in combination with Seclore Data Classification enable organization to seamlessly integrate other best-of-breed data-centric security solution ( such as DLP , CASB and eDiscovery ) to automate the end-to-end data-centric security process , from discovery to classification to protection and usage tracking . The rich library of connector and policy federation also make it easy for organization to integrate exist enterprise content management and collaboration solution ( such as email , EFSS , ERP , and ECM ) into the data-centric framework so that document be automatically classified and protect as they be download and share . Seclore Rights Management protect sensitive information regardless of device or location . Whether a file be on a server , in an email , on a mobile device , or copy to a USB memory stick unintentionally leave behind in an airport , unauthorized user will not be able to access the information . Since usage policy stay with the file , Seclore enable organization to securely adopt the Cloud , BYOD , and external collaboration . Seclore make it easy to centrally define , associate , enforce , modify and audit granular file usage permission , include : - WHO can access the file ? User or Groups Within or Outside the Organization - WHAT can they do with it ? View , Edit , Print , Copy Content , Take Screen Grabs , Work Offline - WHEN can they do it ? Automatic File Expiry , Date and Time Ranges , Number of Days from First Access - WHERE can they do it ? Specific Computers or Devices , Specific IP Address. 1 . Policy Federation You can automatically apply right to a file by inherit policy and map them to Seclore use Seclore ’ s Policy Federation capability . Policy Federation provide common policy administration across ERP , ECM and File-Sharing service and Seclore Rights Management . 2 . Bulk Updates Because employee join , leave and transfer to new team within an organization on a regular basis , Seclore have remove the onerous task of update user permission one at a time . With bulk update , IT can perform a mass transfer of ownership or revocation of user ’ right on protected file , and replicate a user ’ s permission to another user . These time save bulk update feature reduce the management of protected document to just one step . 3 . Protect Any File on Any Device and OS Seclore allow user to protect and utilize any type of file from any device use native application . The ability to openly utilize Rights Management across all type of document and device ensure full adoption while minimize interruption to work process . 4 . Extend the Security of ECM , DLP , ERP , CRM , Email , and File Sharing Solutions Seclore offer a rich suite of pre-built connector that enable organization to persistently control document and data as they be download from an ECM system , discover by a DLP system , share via EFSS , or attach to an email . 5 . Simplify Audit and Compliance Reporting Seclore feature automatic tracking and monitoring of file access and usage wherever they travel or reside . Ready access to consolidate data about who view the file , what they do with it , what device be use to access the file , and when , make it easy to address regulatory compliance and audit reporting requirement ."
S-0248,OFS Website Tracking System,,Oneflash Technology Limited,始訊科技有限公司,Analyse the browse data from IP and URL . Generate the report of the website performance .,"Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Data Analytics
","As a website design company , we set up this website track system to our client . Before they make decision on online marketing strategy , they be able to know more about the website performance and the visitor behaviour by read the dashboard we provide .",https://www.oneflash.tech,"OFS Website Tracking System. Analyse the browse data from IP and URL . Generate the report of the website performance .. As a website design company , we set up this website track system to our client . Before they make decision on online marketing strategy , they be able to know more about the website performance and the visitor behaviour by read the dashboard we provide ."
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,,Nexify Limited & Automation Anywhere,,"Automation Anywhere ’ s vision of RPA in the public sector be to take the robot out of the human and solve government ’ s mission challenge by liberate employee from mundane , repetitive task , allow them more time to use their intellect and creativity . We see a world where every employee will work side by side with Digital Workers , make human exponentially more productive and far more fulfilled . Upgrade Citizen Experience RPA provide flexible technology that enable agency to keep up with citizen demand and desire for consumer-grade service level . Modernize Government Forms Optimize data collection , consolidation , and index to set up all process with the right information , right away . Interoperate with any System RPA be design to work with any system from legacy to cloud . Free human talent from connect the dot between system to focus on high-value work . Improve Mission Delivery From input through to compliance and reporting , RPA enable smoother , fast , service delivery , by automate high-friction/bottleneck step in process .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Deep Learning
Machine Learning
Natural Language Processing
Robotic Process Automation
","We have include several case study include NHS from UK , Australia Post as well as City of San Diego County from US . Those use case with implementing digital workforce / RPA to automate manual , repetitive , and mundane process across variou area like HR , Accounting , and data integration across various legacy system .",https://www.nexify.com.hk / https://www.automationanywhere.com/,"Robotic Process Automation with A.I. Data Capturing Capability. Automation Anywhere ’ s vision of RPA in the public sector be to take the robot out of the human and solve government ’ s mission challenge by liberate employee from mundane , repetitive task , allow them more time to use their intellect and creativity . We see a world where every employee will work side by side with Digital Workers , make human exponentially more productive and far more fulfilled . Upgrade Citizen Experience RPA provide flexible technology that enable agency to keep up with citizen demand and desire for consumer-grade service level . Modernize Government Forms Optimize data collection , consolidation , and index to set up all process with the right information , right away . Interoperate with any System RPA be design to work with any system from legacy to cloud . Free human talent from connect the dot between system to focus on high-value work . Improve Mission Delivery From input through to compliance and reporting , RPA enable smoother , fast , service delivery , by automate high-friction/bottleneck step in process .. We have include several case study include NHS from UK , Australia Post as well as City of San Diego County from US . Those use case with implementing digital workforce / RPA to automate manual , repetitive , and mundane process across variou area like HR , Accounting , and data integration across various legacy system ."
S-0250,UiPath Automation Platform,,UiPath,,"We currently understand that there be many manual repetitive process in check construction material test report . UiPath Platform combine the core RPA capability of building , managing , and run robot with tool for process discovery , and analytics to report clear business impact . As the leader in the 2019 Gartner Magic Quadrant for Robotic Process Automation Software , over 160+ company in HK have be use UiPath RPA platform to enhance their business operation .","Housing
Transport
","Robotic Process Automation
","RPA allow agency to prioritize human-centric service and declutter department from redundant and time-consuming task , achieve not only an ROI in cost but in the intangible of increased capacity , good compliance , and reduced backlog .",www.uipath.com,"UiPath Automation Platform. We currently understand that there be many manual repetitive process in check construction material test report . UiPath Platform combine the core RPA capability of building , managing , and run robot with tool for process discovery , and analytics to report clear business impact . As the leader in the 2019 Gartner Magic Quadrant for Robotic Process Automation Software , over 160+ company in HK have be use UiPath RPA platform to enhance their business operation .. RPA allow agency to prioritize human-centric service and declutter department from redundant and time-consuming task , achieve not only an ROI in cost but in the intangible of increased capacity , good compliance , and reduced backlog ."
S-0251,Self Service Bike Rental Solution,自動租借單車系統,NFC Touch Limited,NFC Touch Limited,The automatic bicycle rental system be use by citizen for leisure and entertainment.The system do not require a large number of manual operation to allow citizen to easily rent or return bicycle in different place in the district to visit the scenic spot and open space in the district .,"City Management
Recreation and Culture
","Mobile Technologies
Radio Frequency Identification (RFID)
","The system provide bicycle booking and payment function to user as a one-stop service through mobile apps and the Internet.In addition , the relevant plan should explore the use of geo-fencing to manage bicycle park space to prevent bicycle from park indiscriminately . How do it work ? 1 . The customer scan the QR code to download the mobile application for automatic bicycle rental 2 . The customer confirm the registration of the bicycle rental through the mobile phone NFC 3 . The customer pay with Payme , after the payment be complete , the bicycle can be take away 4 . RFID position base station measure the situation of bicycle leave and enter the park area 5 . When the RFID positioning base station measure that the bicycle have be return to the park area , the deposit can be return through Payme",www.nfctouch.com.hk,"Self Service Bike Rental Solution. The automatic bicycle rental system be use by citizen for leisure and entertainment.The system do not require a large number of manual operation to allow citizen to easily rent or return bicycle in different place in the district to visit the scenic spot and open space in the district .. The system provide bicycle booking and payment function to user as a one-stop service through mobile apps and the Internet.In addition , the relevant plan should explore the use of geo-fencing to manage bicycle park space to prevent bicycle from park indiscriminately . How do it work ? 1 . The customer scan the QR code to download the mobile application for automatic bicycle rental 2 . The customer confirm the registration of the bicycle rental through the mobile phone NFC 3 . The customer pay with Payme , after the payment be complete , the bicycle can be take away 4 . RFID position base station measure the situation of bicycle leave and enter the park area 5 . When the RFID positioning base station measure that the bicycle have be return to the park area , the deposit can be return through Payme"
